Wavelength (nm),bf1,bf2,bf11,bf12,bf13
900.0,0.00065,0.4284886736122355,0.4280371066550944,0.4273381044565333,0.42724799251889223
903.0,-5e-05,0.4266033299200341,0.426739609709265,0.4266033299200341,0.42806570076065803
906.0,0.00048,0.4259425754690749,0.4252804613864715,0.4255591232387675,0.42432392268592134
910.0,0.0007,0.4246759770391919,0.424613866204676,0.4252353746387529,0.42514209165380845
912.0,-1e-05,0.42603285303156624,0.4236794230087993,0.4267956999058212,0.4247449261455177
915.0,0.00037,0.4247522082048766,0.4219960861075975,0.42498728713352574,0.4250841213365204
918.0,0.00078,0.4245106007850784,0.42284083741363454,0.4248636379121493,0.4206330619008795
920.0,0.00075,0.4228714555209758,0.4203959984577863,0.4234371513723748,0.4222819487529164
923.0,-0.00085,0.4205463317092226,0.4202817249358143,0.4203852475175057,0.42161791037571544
925.0,0.0005200000000000001,0.4214684834327597,0.4192986714609912,0.4204466768619396,0.4205111409383387
929.0,3e-05,0.4192632792959392,0.4184449544739167,0.4185603892495058,0.4194753324462086
932.0,0.00011,0.4193305568399178,0.4188750078305925,0.418660797057914,0.4171553803080198
934.0,0.00079,0.4180454527755799,0.4172049303958046,0.4177815843194314,0.4194416734567606
937.0,0.0004,0.4176019590956902,0.4159120655470458,0.41756382595884795,0.41775452513460315
940.0,-2e-05,0.4165119835657362,0.4150956323187073,0.415630625183584,0.4157503848896456
942.0,0.00074,0.4166524889764339,0.41661315427104495,0.4156047807786003,0.415375931143046
945.0,3e-05,0.41444165976738334,0.4135021034583996,0.4144294447006697,0.41359962513102605
949.0,0.00081,0.4141871335194228,0.4125616863565855,0.4141871335194228,0.4131454791075432
951.0,0.00038,0.4123705019892396,0.4123863011227663,0.4132614168459233,0.4119599261267393
954.0,5e-05,0.4117655798975014,0.4112795368141519,0.4113496537821139,0.41183577538753086
957.0,0.00039,0.4107918229289674,0.410558124851043,0.4114602254955374,0.41105906052337193
959.0,1e-05,0.4102324283083029,0.4102506541505492,0.410059320944472,0.40993636552370794
962.0,-0.00011,0.4104017032348552,0.4098132607216284,0.4099875309533552,0.40986117806464883
964.0,0.00032,0.4097035724651121,0.4087323177659592,0.4088989024065407,0.4095658806826558
968.0,3e-05,0.40820266873535904,0.4075340751114463,0.4079914226875901,0.4080892090103314
971.0,0.00011,0.4079905856901014,0.407836578555044,0.4079830718797412,0.40778024812362
973.0,0.00016,0.40788314402511777,0.4076159036529603,0.40788314402511777,0.4075112191514356
976.0,-9e-05,0.4072342612352733,0.4063518451377314,0.4068518924115741,0.4068935890183159
978.0,8e-05,0.4064959586502965,0.4065797407337151,0.4064490477425536,0.40675405925725894
981.0,-8e-05,0.40607997858114203,0.40560395420454015,0.40622256358745,0.40598926703551486
985.0,-8e-05,0.405969397086114,0.4058486793367347,0.4056259039175851,0.40560734445652846
987.0,-6e-05,0.4057058847725674,0.4054410416941228,0.40540193083669496,0.4050200330094161
990.0,-0.0003,0.4052103114707424,0.40496404297426347,0.4048409610740764,0.40517218935425664
993.0,-0.00039,0.4050221804942797,0.4039184799785075,0.4053716026494201,0.4044871359195425
995.0,-1e-05,0.4047686238479751,0.4045304308489841,0.40464250539881264,0.40511914516158615
998.0,-0.00025,0.4044124331243521,0.40427491808853,0.4043629226951807,0.40430791772624464
1000.0,-0.00029,0.40468599381384895,0.4038205795512015,0.4046589234985724,0.4045181850525967
1004.0,-2e-05,0.40437346445525696,0.4040664003705127,0.4039288213975869,0.4035507037941505
1007.0,-1e-05,0.4043607601391828,0.4038508882058769,0.40406260848532416,0.4038848610512501
1009.0,4e-05,0.4038334059289193,0.403745479501976,0.40358518888987216,0.40387737581882294
1012.0,-0.00013000000000000002,0.4042049199551361,0.4031458491034138,0.4034968769785149,0.4037353277501805
1014.0,-0.00024,0.403271150483497,0.40347727212902296,0.40332458003572,0.40369622445831194
1017.0,-0.00034,0.4035621084847994,0.40292730987679576,0.4030486338939003,0.4032888543114985
1019.0,3e-05,0.403835761940418,0.4035966372468114,0.4037854089569525,0.4036973052811979
1023.0,-0.0001,0.4034774550744556,0.40327241518490015,0.4032899148114503,0.40374765540718704
1026.0,-8e-05,0.4037673102190156,0.4033383946028818,0.40325365907877103,0.4034430907281029
1028.0,-0.00034,0.4040790889735463,0.40333983025106057,0.4035512741091757,0.4033025273130407
1031.0,-8e-05,0.4038186061148745,0.40320831083888187,0.4034364509673201,0.4034513338350226
1033.0,-0.00026000000000000003,0.4040051326837547,0.40365067029588825,0.4034079189778675,0.4040348909407246
1036.0,-0.00026000000000000003,0.4041218493112084,0.40387454025146224,0.4034297385264012,0.4038844299103847
1038.0,-0.00016,0.4038331266654291,0.4039194393262565,0.4037591580354269,0.40352254304422913
1042.0,2e-05,0.4041504989658253,0.4038922019248864,0.40397090474941977,0.4038307252655577
1045.0,-0.00023,0.4040549037455065,0.4037824179454579,0.4039002286631865,0.4037726018280626
1047.0,-0.00028,0.4043325012580154,0.40367557851824176,0.4041215894011233,0.4038470669634722
1050.0,-4e-05,0.4044618640095224,0.4038692646121199,0.40420954310602986,0.4041385277380516
1052.0,-0.00011,0.40430273553172896,0.4035621086028149,0.4040899509811697,0.40442507269553696
1055.0,-0.00013000000000000002,0.404407760631664,0.4039607080113598,0.4042391457581533,0.4038947883675843
1057.0,-0.00022,0.4046112139023162,0.40399135439866174,0.40443297469107015,0.4041718520769868
1061.0,-0.00027,0.4045563349274411,0.4038818264670747,0.4043273229099112,0.4044369412546882
1063.0,-0.0002,0.4045952230486045,0.4038874731069668,0.40387532252847297,0.4039822592879629
1066.0,-0.00023,0.4046569571677397,0.4037895463304715,0.404195094292997,0.40425340777041885
1069.0,-0.00015,0.4043395638169728,0.4041502748171197,0.40392469186022856,0.4041381437202252
1071.0,-1e-05,0.4042496689691665,0.4044290133301877,0.4041890963909697,0.4040825091681915
1074.0,-5e-05,0.4040895565810319,0.4035579784064257,0.4042951134419752,0.4040750503605484
1076.0,-0.00018,0.4042647193780465,0.4037046539322446,0.40413912465238266,0.4042574725411276
1080.0,-0.00019,0.4038104404592223,0.4037308982414489,0.40377187271607545,0.40375500040539974
1082.0,-0.00016,0.4043997965887666,0.4038773261368574,0.4040024691780589,0.4037955213334559
1085.0,-0.00019,0.4039420752799809,0.4034255570508304,0.4032383207979181,0.40368013577658757
1087.0,-2e-05,0.4035840533920042,0.40325091448173,0.40341146032842096,0.4033132088084754
1090.0,-0.00017,0.4033687514645207,0.4031773342788766,0.4033543922487183,0.40309600751570845
1092.0,-0.00012,0.4034686668214086,0.4031126671546492,0.4032129865219517,0.4032249308474843
1096.0,-5e-05,0.4031837512624543,0.4026305432230465,0.4028689085599102,0.4027830819664406
1098.0,-0.00017,0.4028269726197871,0.4027745512363276,0.4026864022675791,0.4029818909552179
1101.0,-8e-05,0.4028581456816797,0.4026274813891839,0.4028486313298562,0.40275349927388027
1103.0,-4e-05,0.40287287746015177,0.4019591849932833,0.4024027383936776,0.40253328153570767
1106.0,-4e-05,0.4024008129370321,0.4021780552790292,0.4025478007589575,0.4022278103772141
1108.0,-0.00011,0.4020735947631431,0.4018014010755761,0.4021754153692109,0.4020546540280748
1111.0,-0.00024,0.4018348498566487,0.4020571998557808,0.4021991849320993,0.40202407668283224
1114.0,2e-05,0.4024929123068445,0.4017267562860123,0.4022042627860246,0.40179055102253003
1117.0,-0.00015,0.4021204088468338,0.40156276973121946,0.40204475478903184,0.40159346851278493
1119.0,-0.00017,0.4021089304732907,0.40198603410789,0.4018230137558426,0.40167422251005364
1122.0,-0.00015,0.4023342250446794,0.40179094941478577,0.4019042725747757,0.40185469005373015
1124.0,9e-05,0.4025711041166784,0.4021361050891718,0.40218572969709293,0.40207939819396443
1127.0,-0.00025,0.4020749500035383,0.4016496667661926,0.4017512243521888,0.4016874528611312
1129.0,-2e-05,0.40223401368520695,0.4016125819250703,0.4017873435667382,0.40202361973133127
1133.0,-0.00012,0.4020680005412944,0.4016565979787022,0.40194028217316974,0.4017038658112798
1135.0,-8e-05,0.4020311328387875,0.4013456521363605,0.40176863136741,0.4015086512067823
1138.0,2e-05,0.402056932307284,0.4017160678138819,0.4017302651609943,0.40176102767201893
1140.0,-8e-05,0.4018931001412155,0.40185511866149504,0.4017910324457036,0.40180764648249806
1143.0,-9e-05,0.40195723185274657,0.4016138196194785,0.4015854114593893,0.40160671740524423
1145.0,-0.0001,0.40204591454826943,0.4019936917263156,0.4018797728163644,0.40211713760892814
1148.0,-4e-05,0.4023596669592005,0.4019154342165489,0.4022836162888103,0.40157603316194523
1151.0,1e-05,0.4021767615858137,0.4016992159150611,0.4018915965304071,0.40210782953793645
1154.0,-0.00023,0.40240837331021184,0.4019544743956031,0.4017953656348455,0.40214690762988603
1156.0,-0.00018,0.4025270112382131,0.4018428433499784,0.40187845050064425,0.40219667064291814
1159.0,1e-05,0.4027281843826838,0.4023599922413104,0.40223891336862094,0.40200871921639575
1161.0,-8e-05,0.4027415274171155,0.4023284923401189,0.4021316081548638,0.4024708738602709
1163.0,-0.00013000000000000002,0.4026132238185011,0.4022100496110006,0.4023191068773149,0.4022479794671399
1166.0,6e-05,0.40273811002707655,0.4025674582752217,0.4022855557709271,0.40242766861592905
1169.0,-3e-05,0.4025929578862661,0.40239899299441895,0.4024888683933136,0.40280357884006546
1172.0,0.00013000000000000002,0.402702900330278,0.4027997227235951,0.4021082704367324,0.4023347001203083
1174.0,-9e-05,0.4026889945160034,0.40237808933256025,0.40269370691272544,0.4026842821704135
1177.0,-5e-05,0.40277605802429295,0.4024001492034437,0.4023954524015715,0.40255282292234584
1179.0,-0.00015,0.4027470520043882,0.40244496015697395,0.40235133093092096,0.4029720009967582
1182.0,-0.00014,0.4029051373113628,0.4023310008655602,0.40244296790433853,0.4027206774120295
1184.0,-0.00014,0.4028947456747543,0.4023762239069245,0.4022066180094531,0.4023553100107655
1188.0,-0.00013000000000000002,0.4026619778165781,0.4021335421146591,0.4023826805868675,0.402535002263265
1190.0,-0.00013000000000000002,0.4023069440551494,0.4021164806228461,0.4021646622731364,0.40237580681669477
1192.0,-0.00019,0.40255544981048497,0.40191445156445815,0.40242991303206976,0.4019007750800823
1195.0,-0.00021,0.4023726013585947,0.4021732038875702,0.40205995064238825,0.4020803340470595
1197.0,-8e-05,0.4024187314573757,0.4019446095703142,0.40216025962032825,0.4020973506269317
1200.0,-8e-05,0.4022854235458461,0.4019936899181669,0.40208942820724,0.4018401074525831
1203.0,-0.00016,0.402136114828913,0.40179843936248544,0.4020176792528016,0.4020593473468296
1206.0,3e-05,0.4024905399993369,0.4019116605067979,0.4020987326424198,0.4022488836865152
1208.0,3e-05,0.4025156141471296,0.4019934206346813,0.4022263880972321,0.4020387100771817
1210.0,-0.00011,0.40281673014281183,0.4021262148438727,0.4021069901927152,0.40246599074436423
1213.0,-2e-05,0.40233520856573296,0.4022166905416229,0.4023902457873927,0.4019099637247885
1215.0,-9e-05,0.40254750841731385,0.4022939278208126,0.4019881515193464,0.4024175560614907
1218.0,-0.00011,0.4023721598323057,0.4020987646275729,0.40218987724086813,0.40212154098893477
1221.0,-7e-05,0.4022155482034698,0.4020241572894539,0.4021340949518766,0.40201194371133536
1224.0,-8e-05,0.40245676790945595,0.40216496756773934,0.4021267461852197,0.40209456236666063
1226.0,-0.0001,0.4024262767257625,0.40213584792462986,0.4020622769417517,0.4022313099375129
1228.0,-9e-05,0.402394823291414,0.4023535611844793,0.4021001799264161,0.4021669482380093
1231.0,-7e-05,0.4028872873485212,0.4020566846105916,0.4022001799578492,0.4023456628252786
1233.0,1e-05,0.4024556101695777,0.4024441100464828,0.4020322231377388,0.40239427969837527
1235.0,3e-05,0.4025811403206052,0.4025470361024448,0.4022193931641407,0.4024314806089391
1239.0,2e-05,0.4024881017366959,0.4021829628517772,0.402205282818988,0.4024229626358325
1241.0,-7e-05,0.4023286507040372,0.4017807169000157,0.4019534804521289,0.4021925220721775
1244.0,-0.00019,0.4022770277654527,0.4017427417902441,0.4018771600459382,0.401940750743032
1246.0,-0.0002,0.4020199809957779,0.4019893695502024,0.4019137505219286,0.4019785660257179
1248.0,-0.0002,0.4019703365744466,0.4015694111225421,0.4019738862400064,0.40214785540277886
1251.0,-0.00017,0.4022620269330365,0.4017398428377016,0.4019050453231685,0.40183825377230603
1253.0,-7e-05,0.40195602529229535,0.40168829105026144,0.4018777741907419,0.4016465810949456
1257.0,-1e-05,0.4018239703331604,0.4017419157333408,0.40180174568152455,0.40202233297747497
1259.0,-0.00019,0.4017489067039396,0.4015831060590464,0.4013987694609285,0.4019977264149657
1261.0,-0.00016,0.4019707227929691,0.4014346104745402,0.40150326291210464,0.40180646808083803
1264.0,-7e-05,0.40191330030273015,0.4016907384936104,0.4015761802414974,0.40166749234655047
1266.0,-0.00019,0.4014433589185217,0.4013988940144249,0.4011124515624207,0.40155042273385916
1268.0,-0.00026000000000000003,0.40158154723119815,0.4014148089064156,0.4012922480245797,0.401320025459881
1271.0,-0.00016,0.4015566006053405,0.4015274027019017,0.4012549835547175,0.40149982870653345
1274.0,-9e-05,0.4015285709885599,0.40117455811290587,0.4012306042722091,0.40153177604292706
1277.0,-2e-05,0.4018001899271813,0.4014006922950612,0.4013100209050229,0.40147069719400513
1279.0,-0.00013000000000000002,0.40156394665024,0.4013016743469383,0.4015086350945896,0.4013569595487603
1281.0,-0.00012,0.4014834409072473,0.401148005732932,0.4012968818943829,0.40145364879734685
1284.0,-0.00028,0.40157600862663695,0.40107725081519424,0.40110209745871056,0.4014609793775328
1286.0,2e-05,0.4016161932223772,0.4012310000553863,0.40147594336052456,0.4014497478570267
1288.0,-0.00013000000000000002,0.4013149653442722,0.4010553595729558,0.4011530752974134,0.40128288799396217
1292.0,-0.00019,0.4012209016252222,0.40089941944617297,0.401009571983133,0.40083605667288386
1294.0,-7e-05,0.4012627671401479,0.40088658783722575,0.4006694214960884,0.40094052182933504
1296.0,-0.00017,0.4009272874976865,0.4008930699374039,0.4006491619713057,0.40065362247263736
1299.0,-4e-05,0.4011261114267468,0.4007804590347117,0.4006446368196104,0.40089712288795437
1301.0,-0.00013000000000000002,0.4010501241066556,0.40018795421098985,0.4008006813606821,0.4005469836839666
1303.0,-0.00019,0.4007731925998309,0.4008197258134083,0.40055949468596136,0.4006089120673733
1307.0,2e-05,0.4011014821148116,0.40059724832958415,0.40078409429945705,0.4009536287945331
1309.0,-0.00018,0.4006492286819527,0.4004333186012907,0.4005081552742145,0.4007557838740472
1311.0,-0.00012,0.4006513621233623,0.40036464515173575,0.4003546134853959,0.4004807427193916
1314.0,-0.00016,0.4006792852584249,0.4002643834807056,0.400462517356793,0.4004696461591606
1316.0,-0.00022,0.4004584367540816,0.4001389297565532,0.4001815171108265,0.40037321190192093
1318.0,-0.00024,0.4003594953751092,0.4001430219562351,0.400083616750997,0.4002151677742079
1321.0,-9e-05,0.4003333486286259,0.4001345736220368,0.4000260611273527,0.40025298181925606
1324.0,-0.00019,0.4003726999627612,0.3999389437796956,0.3998940487906686,0.39991228682023466
1326.0,-0.00022,0.4001741711969386,0.400007567519094,0.3999571789958971,0.4000747613121791
1329.0,-3e-05,0.4000890351890689,0.3999704042840288,0.4000527446484994,0.3999676133587838
